PRODUCTOR,DISTRITO,UBICACIÓN,Ed,AC,LC,Aca,Lca,Ao,Lo,Tco,Lcu,LCTc,Pe,Acr,AGrA,AGrP,AGr,LGr,PTo,PAb,Ape,AT,PCñ,LCñ,Lp,...27,...28,...29,Lit,(ICE) = (Ancho de la cabeza / largo de la cabeza) x 100.,(IAN) = Perímetro torácico 2 / (altura a la cruz x 100).,(IPE) = (Ancho de grupa /longitud grupa) x 100.,(IDT)= (Perímetro de la caña / perímetro torácico) x 100,(IDC) = (Perímetro de la caña /ancho de tórax) x100.,(IPT) = (Ancho de grupa /alzada a la cruz) x 100.,(IPL) = (Longitud de la grupa /alzada a la cruz) x 100.,(IER)= (Perímetro de la caña/ alzada a la cruz) x 100.,(ICC)= (Perímetro de la caña/ Peso vivo) x 100.
84,SAN JERONIMO,"13°40'52""S 73°15'54""W",8,16.5,45,13.5,36,14,17,27,67,91,382,117,119,117,50,41,172,169,19,32,17,22,5.5,CPMC,ambarino,oscuro,6,36.67,147.01,121.95,9.88,53.13,42.74,35.04,14.53,4.45
85,SAN JERONIMO,"13°40'52""S 73°15'54""W",4,17,45,15,38,14,17,22,69,84,329,121,120,118,47,40,160,156,18,29,17,22,5,CPMC,ambarino,oscuro,5,37.78,132.23,117.50,10.63,58.62,38.84,33.06,14.05,5.17
86,SAN JERONIMO,"13°40'52""S 73°15'54""W",4,16.5,44.5,14,37,14,17,26,68,83,320,119,119,118,48,40,160,155,17,28.5,17,22,4.5,CPMC,ambarino,oscuro,5,37.08,134.45,120.00,10.63,59.65,40.34,33.61,14.29,5.31
87,SAN JERONIMO,"13°40'40""S 73°17'19""W",8,16,43,15.5,36,13,18,26.5,63,81,405,115,118,111,49,41,171,168,18,36,17,19,7,CS,ambarino,oscuro,6,37.21,148.70,119.51,9.94,47.22,42.61,35.65,14.78,4.20
88,SAN JERONIMO,"13°40'40""S 73°17'19""W",8,17,44,16,35,12,17,25,61,83,380,113,117,110,49,43,172,170,19,37,17,18,6,CS,negro,oscuro,5,38.64,152.21,113.95,9.88,45.95,43.36,38.05,15.04,4.47
89,SAN JERONIMO,"13°40'40""S 73°17'19""W",6,16,42,15,35,12,17,25,61,81,305,112,115,110,48,42,171,168,18,35,17,18,5.5,CCO,ambarino,oscuro,5,38.10,152.68,114.29,9.94,48.57,42.86,37.50,15.18,5.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
